brand,name,weight,price
SEASON'S CHOICE,"Steamable Frozen California Medley Vegetables, 12 oz",12 oz,$1.29
FRIENDLY FARMS,"Whipped Topping, 8 oz",8 oz,$1.25
SUNDAE SHOPPE,"Chocolate Ice Cream Crunch Bars, 6 count",18 fl,$3.29
SUNDAE SHOPPE,"Strawberry Flavor Ice Cream Crunch Bars, 6 count",18 fl oz,$3.29
MAMA COZZI'S PIZZA KITCHEN,"Pepperoni Pizza Snacks, 45 oz",45 oz,$6.39
SEASON'S CHOICE,"Frozen Cherry Berry Blend, 48 oz",,$7.15
SIMPLY NATURE,"Steamable Frozen Organic Broccoli, 10 oz",10 oz,$2.39
SIMPLY NATURE,"Steamable Frozen Organic Spinach, 10 oz",10 oz,$2.39
KIRKWOOD,"Dino Nuggets, 35 oz",35 oz,$7.25
SUNDAE SHOPPE,"Mixed Berry Gelato, 28.5 fl oz",28.5 fl oz,$3.85
MAMA COZZI'S PIZZA KITCHEN,"Original Thin Crust Sausage, 14.9 oz",14.9 oz,$3.09
L'OVEN FRESH,"Heat & Serve Garlic Knots, 8 count",10.4 oz,$3.29
FREMONT FISH MARKET,"Tempura Shrimp, 16 oz",16 oz,$7.69
SUNDAE SHOPPE,"Triple Chocolate Gelato, 28.5 fl oz",28.5 fl oz,$3.85
MAMA COZZI'S PIZZA KITCHEN,"Cheese Stuffed Pepperoni Crust Pizza, 29.85 oz",29.85 oz,$7.15
HOME RUN INN,"Sausage Pizza, 30 oz",30 oz,$7.25
BREMER,"Shepherd's Pie, 30 oz",30 oz,$3.59
BREMER,"Chicken Pita Melt, 15 oz",15 oz,$6.05
MAMA COZZI'S PIZZA KITCHEN,"Mega Meat Rising Crust Pizza, 28.25 oz",28.25 oz,$5.29
SIMPLY NATURE,"Tropical Açaí Bowl Frozen Fruit Blend, 6 oz",6 oz,$3.65
SIMPLY NATURE,"Berry Açaí Bowl Frozen Fruit Blend, 6 oz",6 oz,$3.65
MAMA COZZI'S PIZZA KITCHEN,"BBQ Beast Smokehouse Style Rising Crust Pizza, 26.6 oz",26.65 oz,$5.29
DEUTSCHE KÜCHE,"Spinach & Ricotta Strudel, 10.6 oz",10.6 oz,$4.49
SIMPLY NATURE,"Organic Butternut Squash, 10 oz",10 oz,$2.75
SIMPLY NATURE,"Organic Frozen Sweet Potatoes, 10 oz",10 oz,$2.75
MAMA COZZI'S PIZZA KITCHEN,"Stuffed Crust Cheese Pizza, 30.40 oz",30.4 oz,$7.15
MAMA COZZI'S PIZZA KITCHEN,"Original Thin Supreme, 15.8 oz",15.8 oz,$3.09
MAMA COZZI'S PIZZA KITCHEN,"Original Thin Meat Lover's, 14.4 oz",14.4 oz,$3.09
FREMONT FISH MARKET,"Argentine Red Shrimp, 16 oz",16 oz,$10.99
BELMONT,"Deep Dish Pie Crust, 2 count",2 ct,$1.75
BREMER,"Lasagna with Meat Sauce, 38 oz",38 oz,$6.39
FREMONT FISH MARKET,"Family Pack Frozen Swai Fillets, 2 lb",32 oz,$8.79
KIRKWOOD,"Whole Duck, per lb",6.18 lb,$20.33
GINO'S EAST,"Deep Dish Sausage Pizza, 26 oz",26 oz,$9.15
SEASON'S CHOICE,"Whole Onion Rings, 16 oz",16 oz,$3.65
APPETITOS,"Cream Cheese Stuffed Jalapenos, 11 oz",11 oz,$2.99
GINO'S EAST,"Deep Dish Cheese Pizza, 32 oz",26 oz,$9.15
BELMONT,"Mini Cheesecake Bites, 24 count",17.5 oz,$6.95
HOME RUN INN,"Classic Cheese Pizza, 27 oz",27 oz,$7.25
MAMA COZZI'S PIZZA KITCHEN,"Cheese Stuffed Crust Three Meat Pizza, 31.9 oz",31.9 oz,$7.15
MAMA COZZI'S PIZZA KITCHEN,"Original Thin Cheese, 13.8 oz",13.8 oz,$3.09
MAMA COZZI'S PIZZA KITCHEN,"Stuffed Crust Chicken Bacon Ranch Pizza, 30.25 oz",30.25 oz,$7.15
HOME RUN INN,"Classic Pepperoni Pizza, 27 oz",27 oz,$7.25
BREMER,"Angus Cheeseburger Pita Melt, 13.5 oz",13.5 oz,$6.05
FUSIA ASIAN INSPIRATIONS,"Chicken Pot Stickers, 16 oz",16 oz,$4.39
FUSIA ASIAN INSPIRATIONS,"Pork Pot Stickers, 16 oz",16 oz,$4.39
SEASON'S CHOICE,"Steamed Edamame in the Pod, 16 oz",16 oz,$2.75
KIRKWOOD,"Honey BBQ Chicken Wings, 22 oz",22 oz,$9.05
FUSIA ASIAN INSPIRATIONS,"Beef Lo Mein, 21 oz",21 oz,$5.99
FUSIA ASIAN INSPIRATIONS,"Beef and Broccoli, 21 oz",21 oz,$5.99
BUTTERBALL,"Frozen Turkey, per lb.",18.3 lb,$17.75
SEASON'S CHOICE,"Italian Style Breaded Eggplant Fries, 16 oz",16 oz,$4.99
SEASON'S CHOICE,"Italian Style Breaded Eggplant Cutlets, 16 oz",,$4.99
CATTLEMEN'S RANCH,"Corned Beef Reuben Bites, 24 oz",24 oz,$7.99
FREMONT FISH MARKET,"Grilled Ready Stuffed Clams, 9 count",20 oz,$5.99
BREAKFAST BEST,"Protein Cinnamon French Toast Sticks, 16 oz",16 oz,$5.49
SPECIALLY SELECTED,"Tortilla Top Crusted Flounder, 12.5 oz",12.5 oz,$6.99
SPECIALLY SELECTED,"Macadamia Nut Top Crusted Flounder, 12.5 oz",12.5 oz,$6.99
SPECIALLY SELECTED,"Coconut Top Crusted Flounder, 12.5 oz",12.5 oz,$6.99
SPECIALLY SELECTED,"Caramel Apple Blossoms, 8 oz",8 oz,$2.65
SPECIALLY SELECTED,"Apple Berry Blossoms, 8 oz",8 oz,$2.65
SEASON'S CHOICE,"Steamable Frozen Broccoli Florets, 12 oz",12 oz,$1.29
SEASON'S CHOICE,"Steamable Frozen Broccoli Stir Fry, 12 oz",12 oz,$1.75
JOURNEY TO...,"Mini Vegetable Samosa, 10.2 oz",10.2 oz,$3.99
