brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
MAMA COZZI'S PIZZA KITCHEN,"12"" Uncured Pepperoni Cauliflower Crust Deli Pizza, 17 oz",17 oz,$8.79,1167.4368839673916,59.868558152173925,481.9418931250001
MAMA COZZI'S PIZZA KITCHEN,"16"" Mega Meat Deli Pizza, 30.5 oz",30.5 oz,$7.95,2281.7428681857646,102.07797041883683,864.6604553125002
LUNCH MATE,"Original Grilled Chicken Strips with Rib Meat, 6 oz",6 oz,$3.25,200.11428088235297,40.0228561764706,170.09713875000003
LUNCH MATE,"Southwestern Grilled Chicken Strips with Rib Meat, 6 oz",6 oz,$3.25,200.11428088235297,40.0228561764706,170.09713875000003
MAMA COZZI'S PIZZA KITCHEN,"12"" Veggie Cauliflower Crust Deli Pizza, 17.6 oz",17.6 oz,$8.79,1397.0644996000003,75.84064426400002,498.95160700000014
MAMA COZZI'S PIZZA KITCHEN,"Calzone Philly Cheese Steak, 6 oz",6 oz,$2.55,400.22856176470594,20.0114280882353,170.09713875000003
APPLETON FARMS,"Salami Collection, 12 oz",12 oz,$7.15,1214.9795625000002,97.19836500000001,340.19427750000006
EARTH GROWN,"Organic Extra Firm Tofu, 14 oz",14 oz,$1.75,420.2399898529412,42.02399898529412,396.89332375000004
OSCAR MAYER,"Pizza Lunchable, 10.7 oz",10.7 oz,$2.75,1203.7297517361112,52.964109076388894,303.33989743750004
OSCAR MAYER,"Ham Lunchable, 9.1 oz",9.1 oz,$2.75,,,
PARK STREET DELI,"Spinach Veggie Dip, 14 oz",14 oz,$4.65,1408.3311487903227,12.803010443548388,396.89332375000004
PARK STREET DELI,"Thai-Inspired Coconut Chicken, 16 oz",16 oz.,$7.15,745.1874650000001,74.51874650000002,453.5923700000001
PARK STREET DELI,"Chicken Egg Rolls, 13.5 oz",13.5 oz,$3.85,,,
PRIANO,"Spinach and Cheese Manicotti, 19 oz",19 oz.,$5.39,1115.7562315625003,61.558964500000016,538.6409393750001
ALDI,"Deli Sliced Genoa Salami, 8 oz",8 oz,$3.19,844.9269637254903,44.46984019607844,226.79618500000004
PARK STREET DELI,"Fully Cooked Pork Burnt Ends in BBQ Sauce, 16 oz",16 oz.,$6.05,939.5841950000001,68.03885550000001,453.5923700000001
SIMPLY NATURE,"Organic Black Forest Ham, 6 oz",6 oz,$4.75,170.09713875000003,27.215542200000005,170.09713875000003
KRAKUS,"Sliced Polish Ham with Natural Juices, 16 oz",16 oz,$6.05,445.49250625,89.09850125000001,453.5923700000001
PARK STREET DELI,"Turkey Club Wrap, 8 oz",8 oz,$4.39,503.4376853846154,24.922657692307695,226.79618500000004
PARK STREET DELI,"Street Corn Dip, 10 oz",10 oz,$3.29,850.4856937500002,18.89968208333334,283.4952312500001
PARK STREET DELI,"Broccoli & Cheddar Hand Stuffed Chicken Breast, 16 oz",16 oz,$5.75,615.5896450000001,87.47852850000001,453.5923700000001
PARK STREET DELI,"Artichoke Spinach & Parmesan Cheese Hand Stuffed Chicken Breast, 16 oz",16 oz,$5.75,647.9891000000001,87.47852850000001,453.5923700000001
PARK STREET DELI,"Pork Egg Rolls, 13.5 oz",13.5 oz,$3.85,,,
PARK STREET DELI,"Cheddar, Cherry Juice-Infused Dried Cranberries & Sea Salt Roasted Cashew Splits, 4.5 oz",4.5 oz,$2.75,534.0259007267443,20.767673917151168,127.57285406250003
PARK STREET DELI,"Mexicali Dip, 10 oz",10 oz,$3.29,911.2346718750001,20.249659375000004,283.4952312500001
PARK STREET DELI,"Prosciutto, Provolone Cheese and Breadsticks, 3 oz",3 oz,$2.49,260.14856514705883,19.010856683823533,85.04856937500001
ALDI,"Deli Sliced Buffalo Style Chicken Breast, 8 oz",8 oz,$3.19,242.99591250000003,44.549250625000006,226.79618500000004
PARK STREET DELI,"Buffalo Style Cauliflower Dip, 10 oz",10 oz,$4.29,,,
BOB EVANS,"Original Refrigerated Mashed Potatoes, 24 oz",24 oz,$4.19,767.8670835000001,13.28377655,680.3885550000001
