brand,name,weight,price
SPECIALLY SELECTED,"Cara Cara Oranges, 3 lb",3 lb,$4.95
,"Organic Baby Peeled Carrots, 16 oz",16 oz,$1.75
,"Snacking Tomatoes on the Vine, 12 oz",12 oz,$3.29
,"Organic Raspberries, 6 oz",6 oz,$3.85
,"Baby Bella Mushrooms, 8 oz",8 oz,$1.99
,"Brussels Sprouts, 1 lb",1 lb,$2.99
,"Iceberg Lettuce, each",1 each,$2.39
,"White Mushrooms, 8 oz",8 oz,$1.75
,"Fancy Medjool Dates, 1 lb",1 lb,$4.95
,"Peeled Garlic, 6 oz",6 oz,$2.75
,"Organic Yellow Potatoes, 24 oz",24 oz,$4.85
,"Organic Gala Apples, 3 lb",3 lb,$4.39
,"Fuji Apples, 3 lb",3 lb,$3.29
,"Gala Apples, 3 lb",3 lb,$3.29
,"Garlic, 3 count",3 ct,$1.75
,"Honeycrisp Apples, 2 lb",2 lb,$5.05
,"Cosmic Crisp Apples, 2 lb",2 lb,$3.19
,"French Green Beans, 1 lb",1 lb,$3.09
,"Organic Romaine Hearts, 3 count",3 ct,$4.09
,"Organic Bananas, per lb",1 lb,$0.73
,"Honeycrisp Apples, per lb",0.75 lb,$1.91
,"Bananas, per lb",0.33 lb,$0.17
,"Broccoli Crowns, per lb",1 lb,$2.15
,"Cantaloupe, each",1 each,$2.29
,"Large Avocado, each",1 each,$0.95
,"Red Cherries, per lb",2 lb,$5.38
,"Parsley, each",1 each,$1.05
,"Organic Avocados, 4 pack",4 ct,$4.75
,"Organic Cherub Grape Tomatoes, 10 oz",10 oz,$3.65
,"Organic Zucchini, per lb",1.25 lb,$2.74
,"Cantaloupe Chunks, 16 oz",16 oz,$4.39
,"Zucchini Squash, per lb",1.5 lb,$2.18
LITTLE SALAD BAR,"Chef Salad Bowl, 7.75 oz",7.75 oz,$3.19
,"Peaches, 2 lb",2 lb,$3.55
,"Cotton Candy Grapes, 2 lb",2 lb,$4.99
,"Party Pack Tomatoes, 1.5 lb",1.5 lb,$5.49
SPECIALLY SELECTED,"Perfect Pairing Red and Green Grapes, 3 lb",3 lb,$8.79
,"Limes, 1 lb",1 lb,$2.45
,"Pesto Ceasar Salad, 9.50 oz",9.5 oz,$2.99
,"Rosemary, 0.5 oz",0.5 oz,$1.75
,"Fresh Thyme, 0.5 oz",0.5 oz,$1.75
,"Seedless Lemons, 1 lb",1 lb,$3.19
LITTLE SALAD BAR,"Chopped Caesar Salad Kit, 10.8 oz",10.8 oz,$3.29
,Fresh Flower Bouquet - Assorted Color,1 ea,$4.99
,"Envy Apples, per lb",1 lb,$1.99
,"Jumbo Blueberries, 9.8 oz",9.8 oz,$5.49
,"Watermelon Chunks, 1 lb",1 lb,$4.39
,"Pineapple Chunks, 1 lb",1 lb,$4.39
,"Blueberry Raspberry Chopped Salad Kit, 9.9 oz",,$3.29
,"4"" Assorted Foliage",1 ea,$1.74
,"Fresh Mint, 0.5 oz",0.5 oz,$1.75
,"Hot or Cold Teriyaki Salad Kit, 16.9 oz",16.9 oz,$4.39
,Assorted Flower Garden Bouquet,1 ea,$4.99
,Cut Green Beans 12 oz,12 oz,$2.65
,"4"" Aloe Vera Plant",1 ea,$1.99
